input,output
"Before starting her shift, a waitress checks to make sure there is enough mustard for her customers. She finds 0.25 of a bottle at the first table, 0.25 of a bottle at the second table, and 0.375 of a bottle at the third table.Altogether, how many bottles of mustard does the waitress find?",0.875
Shirley starts with 98 eggs. She buys 8 more.How many eggs does Shirley end with?,106
 Mrs. Sheridan has 11 cats. Mrs. Garrett has 24 cats. How many more cats does Mrs. Garrett have than Mrs.Sheridan?,13
"Joan found 79 seashells on the beach, she gave Mike 63 of the seashells.How many seashells does she now have ?",16
Hannah's Vegetarian Restaurant bought 0.3333333333333333 of a pound of green peppers and 0.3333333333333333 of a pound of red peppers.How many pounds of peppers did Hannah's Vegetarian Restaurant buy in all?,0.666666667
 Gavin has 23 shirts. 6 are blue the rest are green.How many green shirts does Gavin have?,17
"Michelle began her pizza delivery route with 0.5 tank of gas in her car . When she made it back to the pizzeria , 0.16666666666666666 tank of gas was .How much gas did Michelle use ?",0.333333333
A marine biologist measured one fish that was 0.3 of a foot long and a second fish that was 0.2 of a foot long.How much longer was the first fish?,0.1
 There were 27 boys and 35 girls on the playground at recess.How many children were on the playground at recess?,62
" Ellen had 2080 Legos, but she lost 17 Legos.How many Legos does she have now?",2063
Paco had 93 cookies. Paco ate 15 of them.How many cookies did Paco have left?,78
Sara got fast food for lunch. Sara spent $5.36 on a hotdog and $5.10 on a salad.What was the total of the lunch bill?,10.46
There are 33 pencils and 44 crayons in the drawer . Joan placed 27 pencils in the drawer .How many pencils are now there in total ?,60
There are 9 cards. 4 cards more are added.How many are there total?,13
It rained 0.2 inches on Saturday and 0.4 inches on Sunday.How much did it rain on Saturday and Sunday combined?,0.6
"Shannon and her family use up a lot of strawberry and blueberry jelly , since they eat toast every morning . At the moment , they have a combined total of 6310 grams of jelly .If they have 4518 grams of blueberry jelly , how many grams of strawberry jelly do they have ?",1792
"It rained 0.9 inches on Monday. On Tuesday, it rained 0.7 inches less than on Monday.How much did it rain on Tuesday?",0.2
"Mary went to the mall . She spent $ 13.04 on a shirt and $ 12.27 on a jacket . She went to 2 shops .In total , how much money did Mary spend on clothing ?",25.31
There are 33 walnut trees currently in the park . Park workers will plant 44 walnut trees today .How many walnut trees will the park have when the workers are finished ?,77
"Jason picked 46 pears, Keith picked 47 pears, and Mike picked  12 pears from the pear tree.How many pears were picked in total ?",105
"At the beach , Miki and her sister both built sandcastles and then measured their heights . Miki 's sandcastle was 0.8333333333333334 foot tall and her sister 's was 0.5 foot tall .How much taller was Miki 's sandcastle than her sister 's ?",0.333333333
 Mrs. Snyder made 86 heart cookies. She made 36 red cookies and the rest are pink.How many pink cookies did she make?,50
 Todd has some gum. Steve gave him 16 more pieces of gum. Now Todd has 54 pieces of gum.How many pieces did Todd have to start  with?,38
Amy starts with 7 peanuts. Gerald gives Amy 55 more.How many peanuts does Amy end with?,62
"Last year at Newberg's airport, 14,507 passengers landed on time. Unfortunately, 213 passengers landed late.In all, how many passengers landed in Newberg last year?",14720
There were 73 bales of hay in the barn . Jason stacked bales in the barn today . There are now 96 bales of hay in the barn .How many bales did he store in the barn ?,23
Mary has 9 yellow marbles. Joan has 3 yellow marbles .How many yellow marbles do they have in all ?,12
Melanie picked 7 plums and 4 oranges from the orchard . She gave 3 plums to Sam .How many plums does she have now ?,4
Tom had 27 pennies and 15 dimes in his bank . His dad gave him 33 dimes and 49 nickels .How many dimes does he have now ?,48
"Joan picked 37 oranges, and Sara picked 10 oranges . Alyssa picked 30 pears .How many oranges were picked in total ?",47
 Lino picked up 292 shells at the seashore in the morning and 324 shells in the afternoon.How many shells did he pick up in all?,616
Brian has 76 cards. Wayne takes 59 away.How many cards will Brian have?,17
Mary had 7 nickels in her bank . Her dad gave her 5 nickels .How many nickels does Mary have now ?,12
"The Montoya family spends 0.6 their budget on groceries and another 0.2 going out to eat .Altogether , what fraction of their budget does the Montoya family spend on food ?",0.8
"A waitress put leftover tarts into the fridge on Thursday night. She noticed that the restaurant had 0.08333333333333333 of a tart filled with cherries, 0.75 of a tart filled with blueberries, and 0.08333333333333333 of a tart filled with peaches.How many leftover tarts did the restaurant have in all?",0.916666667
There are 9 crayons in the drawer . Benny placed 3 crayons in the drawer .How many crayons are now there in total ?,12
Jason has 18 books and he has read 9 of them . Mary has 42 books .How many books do they have together ?,60
Pamela has 50 skittles. She gives 7 to Karen.How many skittles will Pamela have?,43
"Abe 's family moved from the Bahamas to Japan , so they had convert their money into Japanese yen . Their checking account now has 6359 yen and their savings account now has 3485 yen .How many yen do they have ?",9844
Dale 's Vegetarian Restaurant bought 2.8333333333333335 pounds of green peppers and 2.8333333333333335 pounds of red peppers .How many pounds of peppers did Dale 's Vegetarian Restaurant buy in all ?,5.666666667
 Gary had 73 dollars. He spent 55 dollars on a pet snake.How many dollars did Gary have left?,18
The town of Milburg has 5256 grown-ups and 2987 children.How many people live in Milburg?,8243
There were 32 bales of hay in the barn and 26 bales in the shed . Jason stacked bales in the barn today . There are now 98 bales of hay in the barn .How many bales did he store in the barn ?,66
Tom has 9 yellow balloons. Sara has 8 yellow balloons .How many yellow balloons do they have in total ?,17
Sam has 16 blue and 25 green balloons . Alyssa has 21 blue balloons .How many blue balloons do they have in all ?,37
 Iesha has 58 books. 19 are about school and the rest are about sports.How many books about sports does Iesha have?,39
Arthur removes 4 pencils from a jar. There were originally 87 pencils in the jar.How many pencils are left in the jar?,83
A construction company bought 5.91 tons of gravel and 8.11 tons of sand .How many tons of material did the company buy in all ?,14.02
"Mike joined his school's band. He bought a trumpet for $145.16, and a song book which was $5.84.How much did Mike spend at the music store?",151
Jason found 49 seashells and 48 starfish on the beach . He gave 13 of the seashells to Tim .How many seashells does Jason now have ?,36
Joan has 40 blue balloons Melanie has 41 blue balloons.How many blue balloons do they have in total ?,81
Professor Ellison weighed 2 pieces of metal for an experiment . The piece of iron weighed 11.166666666666666 pounds and the piece of aluminum weighed 0.8333333333333334 pound .How much more did the piece of iron weigh than the piece of aluminum ?,10.33333333
"Marta picked 2 pumpkins . The first pumpkin weighed 4 pounds , and the second pumpkin weighed 8.7 pounds .How much did the 2 pumpkins weigh all together ?",12.7
There are 2 orchid bushes currently in the park . Park workers will plant 4 orchid bushes today .How many orchid bushes will the park have when the workers are finished ?,6
Keith has 20 books . Jason has 21 books .How many books do they have together ?,41
"In Mr. Olsen's mathematics class, 0.7 of the students received A's and 0.2 received B's.What fraction of the students received either A's or B's?",0.9
 Paul had 42 strawberries in his basket. He picked 78 more strawberries.How many strawberries did he have then?,120
Sam had 9 dimes in his bank. His dad gave him 7 more dimes.How many dimes does Sam have now ?,16
Ronald has 13 blocks. Martha has with 4 blocks. Martha finds another 80.How many blocks does Martha end with?,84
There are 9 oak trees currently in the park . Park workers had to cut down 2 oak trees that were damaged .How many oak trees will the park have when the workers are finished ?,7
"Joan purchased a basketball game for $ 5.20 , and a racing game for $ 4.23 .How much did Joan spend on video games ?",9.43
"Joan has 9 blue balloons , Sally has 5 blue balloons , and Jessica has 2 blue balloons .How many blue balloons do they have in total ?",16
Eve ran 0.7 mile and walked 0.6 mile .How much farther did Eve run than walk ?,0.1
Scott has 4 tickets. Ernest has with 9 tickets. Ernest finds another 72.How many tickets does Ernest end with?,81
" Isha’s pencil is 31 inches long. If she sharpens it, now her pencil is 14 inches long.How much did she sharpen off of her pencil?",17
 There were 58 geese and 37 ducks in the marsh.How many birds were in the marsh?,95
 Brad has 17 balloons. 8 balloons are red and the rest are green.How many green balloons does Brad have?,9
"Joan had 695 Pokemon cards , and 6 were torn . Sara bought 133 of Joan 's Pokemon cards .How many Pokemon cards does Joan have now ?",562
"Last year at Newberg 's airport , 14507 passengers landed on time . Unfortunately , 213 passengers landed late .In all , how many passengers landed in Newberg last year ?",14720
" 18 children were riding on the bus. At the bus stop, some more children got on the bus. Then there were 25 children altogether on the bus.How  many children got on the bus at the bus stop?",7
Peter starts with 8 erasers. Bridget gives Peter 3 more.How many erasers does Peter end with?,11
"Alyssa bought some toys. She bought a football for $5.71, and spent $6.59 on marbles.In total, how much did Alyssa spend on toys?",12.3
There were a total of 7 football games this year. Melanie missed 4 of the games.How many football games did Melanie go to in all ?,3
"In Shannon 's apartment complex , 0.16666666666666666 the apartments are one-bedroom apartments and 0.3333333333333333 are two-bedroom apartments .What fraction of the apartments are either 1 - or two-bedroom apartments ?",0.5
" Shelby’s teacher gives out gold stars for great math work. Yesterday, Shelby earned 4 gold stars. Today, she earned 3 more.How many gold  stars did Shelby earn in all?",7
Sam has 110 books. Joan has 102 books.How many books do they have together ?,212
 Kelly has 121 Nintendo games.How many does she need to give away so that she will have 22 games left?,99
Kevin starts with 7 cards. He finds another 47.How many cards does Kevin end with?,54
Scarlett made a fruit salad with 0.25 pound of melon and 0.375 pound of berries .How many pounds of fruit did Scarlett use in all ?,0.625
 Arthur baked 35 muffins.How many more muffins does Arthur have to bake to have 83 muffins?,48
"Tom purchased a Batman game for $ 13.60 , and a Superman game for $ 5.06 . Tom already owns 2 games .How much did Tom spend on video games ?",18.66
There are 2 bananas in a pile on the desk. Each banana comes in a package of 13. 7 bananas are added to the pile.How many bananas are there in the pile?,9
"Dan found 56 seashells on the beach, he gave Jessica some of his seashells. He has 22 seashell left.How many seashells did he give to Jessica ?",34
"Ron weighed 2 colored metal balls during a science class . The blue ball weighed 6 pounds and the brown ball weighed 3.12 pounds .If Ron places both balls on the scale at the same time , what will the scale read ?",9.12
In Yardley it snowed 0.125 inch in the morning and 0.5 inch in the afternoon .What was the total amount of snowfall ?,0.625
Mary had 21 dimes and 38 pennies in her bank . Her dad borrowed 18 pennies from Mary .How many pennies does she have now ?,20
Joan has 9 blue balloons but lost 2 of them .How many blue balloons does Joan have now ?,7
Oscar's bus ride to school is 0.75 of a mile and Charlie's bus ride is 0.25 of a mile.How much longer is Oscar's bus ride than Charlie's?,0.5
"During a canned food drive , items were sorted into bins . The drive resulted in 0.125 bin of soup , 0.125 bin of vegetables , and 0.5 bin of pasta .Altogether , how many bins would the canned food take up ?",0.75
Dan picked 9 limes and gave Sara 4 of the limes.How many limes does Dan have now ?,5
Annie starts with 4 crayons. Matthew gives Annie 36 more.How many crayons does Annie end with?,40
"The Richmond Tigers sold a total of 9570 tickets last season .If they sold 3867 tickets in the first half of the season , how many tickets did they sell in the second half ?",5703
Mike has 35 books in his library. He bought several books at a yard sale over the weekend. He now has 56 books in his library.How many books did he buy at the yard sale ?,21
"Alyssa loves eating fruits . Alyssa paid $ 12.08 for grapes , and $ 9.85 for cherries .In total , how much money did Alyssa spend ?",21.93
Tim's cat had kittens. He gave 3 to Jessica and 6 to Sara. He now has 9 kittens left.How many kittens did he have to start with ?,18
Tom has 30 violet balloons. He gave Fred 16 of the balloons .How many violet balloons does he now have ?,14
Janet has 3 stickers. She gets 53 more from Ruth.How many stickers does Janet have in all?,56
Mary got fast food for lunch . Mary spent $ 1.08 on soup and $ 4.80 on a salad . Mary paid with a 20 dollar bill .What was the total of the lunch bill ?,5.88
" At Mrs. Hilt's house, there was 29 inches of snow, and Brecknock Elementary School received 17 inches of snow. How much more snow  did Mrs.Hilt's house have?",12
Larry has 67 cards. Dennis takes 9 away.How many cards will Larry have?,58
 Cindy’s mom baked 1215 cookies. Paul’s dad baked 1112 cookies. They both brought them to school for a party.How many cookies did  they have altogether?,2327
Last week Fred had 23 dollars and Jason had 46 dollars . Fred washed cars over the weekend and now has 86 dollars .How much money did Fred make washing cars ?,63
There are 7 dogwood trees currently in the park . Park workers will plant 5 dogwood trees today and 4 dogwood trees tomorrow . It took 8 workers to finish the work .How many dogwood trees will the park have when the workers are finished ?,16
"While making pastries, a bakery used 0.2 of a bag of wheat flour and 0.1 of a bag of white flour.How many bags of flour did the bakery use in all?",0.3
David removes 7 eggs from a jar. There were originally 27 eggs in the jar.How many eggs are left in the jar?,20
Brennan had 0.25 grams of pepper . Then he used 0.16 grams of the pepper to make some scrambled eggs .How much pepper does Brennan have ?,0.09
" Mrs. Hilt went to a concert. A total of 65899 people attended the concert. The next week, she went to a second concert, which had 119  more people in attendance.How many people were at the second  concert?",66018
"Sam found 35 seashells on the beach, he gave Joan 18 of the seashells.How many seashells does he now have ?",17
Joan found 72 seashells and 12 starfishes on the beach . She gave Alyssa some of her seashells . She has 28 seashell .How many seashells did she give to Alyssa ?,44
Joan's cat had 8 kittens. She gave 2 to her friends.How many kittens does she have now ?,6
" Jovana filled her bucket with 5 pounds of shells.If she adds 12 more pounds of shell to fill her bucket, how many pounds does she have?",17
"Fred picked 36 limes , Alyssa picked 32 limes , and Nancy picked 35 limes and 18 pears , at the farm .How many limes were picked in total ?",103
"Paco 's Countertop Company purchased pieces of marble from a quarry . The weights of the pieces they purchased were 0.3333333333333333 ton , 0.3333333333333333 ton , and 0.08333333333333333 ton .How many tons of marble did Paco 's Countertop Company purchase in all ?",0.75
Evelyn starts with 18 bottle caps. She finds another 63.How many bottle caps does Evelyn end with?,81
"Tom purchased a football game for $14.02, a strategy game for $9.46, and a Batman game for $12.04.How much did Tom spend on video games?",35.52
 14 birds were sitting in a tree. 21 more birds flew up to the tree.How many birds were there altogether in the tree?,35
Alec and his roommates ate 3.25 pints of ice cream on Friday night and 0.25 pint of ice cream on Saturday night .How many pints did they eat in all ?,3.5
"Mike found 6 seashells and 4 starfish , but 4 of the seashells were broken .How many unbroken seashells did Mike find ?",2
 Isabella’s hair is 18 inches long. By the end of the year her hair is 24 inches long.How much hair did she grow?,6
Melanie had 19 dimes in her bank. Her dad gave her 39 dimes and her mother gave her 25 dimes.How many dimes does Melanie have now ?,83
"Joan spent $ 15 on shorts and $ 14.82 on a jacket , and $ 12.51 on a shirt . She went to 3 shops .In total , how much money did Joan spend on clothing ?",42.33
Jason had Pokemon cards. He gave 9 Pokemon cards to his friends. He now has 4 Pokemon cards left.How many Pokemon cards did he have to start with ?,13
Kenji and his classmates placed colored blocks on a scale during a science lab . The yellow block weighed 0.6 pounds and the green block weighed 0.4 pounds .How much more did the yellow block weigh than the green block ?,0.2
"An oil pipe in the sea broke . Before engineers started to fix the pipe , 6522 liters of oil leaked into the water . While the engineers worked , the pipe leaked 5165 liters of oil .In all , how many liters of oil leaked into the water ?",11687
Sara has 3 green and 5 red marbles . Tom has 4 green marbles .How many green marbles do they have in total ?,7
Mary has 9 yellow marbles. Joan has 3 yellow marbles.How many yellow marbles do they have in all ?,12
Fred had 7 dimes in his bank. His sister borrowed 3 of his dimes.How many dimes does Fred have now ?,4
Sara's high school played 12 basketball games this year. The team won most of their games. They were defeated during 4 games.How many games did they win ?,8
"Sam grew 4 watermelons, but the rabbits ate 3 watermelons.How many watermelons does Sam have left ?",1
"Kevin bought two watermelons. The first watermelon was 9.91 pounds, and the second watermelon was 4.11 pounds.How many pounds of watermelon did Kevin buy?",14.02
 Robin had 18 pieces of gum. Her brother gave her some more pieces. Now Robin has 44 pieces in all.How many pieces of gum did Robin's  brother give her?,26
 Carla has some marbles. She bought 134 marbles. Now she has 187 marbles.How many did she start with?,53
 Mariela was in the hospital and she got 403 get well cards from around the country. When she got home she got 287 more cards from friends  and family.How many get well cards did Mariela get?,690
Sandy grew 6 carrots. Sam grew 3 carrots.How many carrots did they grow in total ?,9
Debra removes 22 apples from a jar. There were originally 57 apples in the jar.How many apples are left in the jar?,35
 Mrs. Hilt wants to make a border around her garden. She needs 125 rocks to complete the border. She has 64 rocks.How many more rocks  does she need to complete the border?,61
Jason grew 32 watermelons and 22 cantelopes . Dan grew 31 watermelons .How many watermelons did they grow in total ?,63
"Kendra made punch for her friend's birthday party. She used 0.25 of a gallon of grape juice, 0.375 of a gallon of cranberry juice, and 0.125 of a gallon of club soda.How many gallons of punch did Kendra make?",0.75
"A farmer started the day with 8.75 buckets of seeds . After spending the morning sowing seeds , she now has 6 buckets .How many buckets of seeds did the farmer sow ?",2.75
Dan had 14 peaches and 10 pears at his roadside fruit dish . He went to the orchard and picked peaches to stock up . There are now 85 peaches .how many did he pick ?,71
Darnel sprinted 0.875 of a lap and then took a break by jogging 0.75 of a lap.How much farther did Darnel sprint than jog?,0.125
Jessica had 8 quarters in her bank. Her sister borrowed 3 of her quarters.How many quarters does Jessica have now ?,5
Mary is baking a cake . The recipe wants 8 cups of flour . She already put in 2 cups .How many cups does she need to add ?,6
"Ellen made smoothies in the blender . She used 0.2 cup of strawberries , 0.1 cup of yogurt , and 0.2 cup of orange juice .How many cups of ingredients did Ellen use for the smoothies ?",0.5
Charles has 4 apples. Jessica gives Charles 39 more.How many apples does Charles have in all?,43
Mary found 18 seashells and Jessica found 41 seashells on the beach.How many seashells did they find together ?,59
0.5 of the students in the band are in the trumpet section. 0.125 of the students in the band are in the trombone section.What fraction of the students in the band are in either the trumpet section or the trombone section?,0.625
Angela has 11 tickets. Annie gives Angela 4 more.How many tickets does Angela have in all?,15
 Beka flew 873 miles to visit her aunt. Jackson flew 563 miles to visit his aunt.How many more miles did Beka fly than Jackson?,310
Gordon bought 3.42 pounds of fruit for a class party. The class ate 2.2 pounds of the fruit.How much fruit is left?,1.22
 The town of Milburg has 5256 grown-ups and 2987 children.How many people live in Milburg?,8243
There are 41 pencils in the drawer . Mike placed 30 pencils in the drawer .How many pencils are now there in total ?,71
Sally grew 6 carrots . Fred grew 4 carrots .How many carrots did they grow in all ?,10
There are 31 short trees and 32 tall trees currently in the park . Park workers will plant short trees today . When the workers are finished there will be 95 short trees in the park .How many short trees did the workers plant today ?,64
Sandy grew 8 carrots and 7 turnips . Mary grew 6 carrots .How many carrots did they grow in all ?,14
There are 43 maple trees and 22 orange trees currently in the park . Park workers will plant maple trees today . When the workers are finished there will be 54 maple trees in the park .How many maple trees did the workers plant today ?,11
There are 33 oak trees currently in the park . Park workers had to cut down 18 oak trees that were damaged .How many oak trees will be in the park when the workers are finished ?,15
There were 6 roses in the vase . Mary cut some roses from her flower garden . There are now 16 roses in the vase .How many roses did she cut ?,10
Sean has 223 whistles. Sean has 95 more whistles than Charles.How many whistles does Charles have?,128
Jason grew 37 watermelons and 30 pumpkins . Sandy grew 11 watermelons .How many watermelons did they grow in total ?,48
 James ate 22 carrot sticks before dinner and 15 more after dinner.How many carrot sticks did he eat?,37
Edward starts with 92 eggs. He gives 40 to Phillip.How many eggs does Edward end with?,52
Sara had 21 quarters in her bank . Her dad gave her 49 quarters .How many quarters does she have now ?,70
Sam has 86 yellow and 20 green marbles . Joan took 25 of Sam 's yellow marbles .How many yellow marbles does Sam now have ?,61
" Paul got a box of 479 crayons for his birthday. At the end of the school  year, he only had 134 left.How many crayons had been lost or given  away?",345
Nancy starts with 91 bottle caps. She finds another 88.How many bottle caps does Nancy end with?,179
Carla has some marbles. Carla bought 489 marbles. Now Calra has 2778 marbles all together.How many did Carla start with?,2289
"David has 8 bananas. He gets 50 more from Christopher. Later, David buys 9 cards at the store.How many bananas does David have in all?",58
"Sara grew 43 pumpkins, but the rabbits ate 23 pumpkins.How many pumpkins does Sara have left ?",20
Sam had 9 dimes in his bank . His dad gave him 7 dimes .How many dimes does Sam have now ?,16
 There are 6 birds and 3 nests.How many more birds are there than nests?,3
"Diane is a beekeeper . Last year , she harvested 2479 pounds of honey . This year , she bought some new hives and increased her honey harvest by 6085 pounds .How many pounds of honey did Diane harvest this year ?",8564
"Jessica grew 35 watermelons and 30 carrots , but the rabbits ate 27 watermelons .How many watermelons does Jessica have ?",8
Carol collects 2 peanuts. Carol's father gives Carol 5 more.How many peanuts does Carol have?,7
"In one week, Mitch's family drank 0.5 of a carton of regular milk and 0.1 of a carton of soy milk.How much milk did they drink in all?",0.6
"While making pastries , a bakery used 0.2 bag of wheat flour and 0.1 bag of white flour .How many bags of flour did the bakery use in all ?",0.3
 Carla has some marbles. She bought 489 marbles. Now she has 2778 marbles all together.How many did she start with?,2289
Tim has 44 books. Sam has 52 books.How many books do they have together ?,96
"Rose has 9 apples and 12 erasers.If she shares the apples among 3 friends, how many apples does each friend get?",3
There are 27 pencils in the drawer . Nancy placed 45 pencils in the drawer .How many pencils are now there in total ?,72
"During a visit to an orchard, Charlie picked 0.16666666666666666 of a bag of Golden Delicious apples, 0.16666666666666666 of a bag of Macintosh apples, and 0.3333333333333333 of a bag of Cortland apples.How many bags of fruit did Charlie pick in total?",0.666666667
Larry starts with 93 stickers. He loses 6.How many stickers does Larry end with?,87
"Melanie bought a Batman game for $ 6.95 , a strategy game for $ 7.90 , and a Superman game for $ 7.73 . Melanie already owns 4 games .How much did Melanie spend on video games ?",22.58
There are 42 walnut trees and 12 orange trees currently in the park . Park workers had to cut down 13 walnut trees that were damaged .How many walnut trees will be in the park when the workers are finished ?,29
"A ship full of grain crashes into a coral reef. By the time the ship is fixed, 49,952 tons of grain have spilled into the water. Only 918 tons of grain remain onboard.How many tons of grain did the ship originally contain?",50870
Joan has 47 green and 48 red marbles . Fred took 24 of Joan 's green marbles .How many green marbles does Joan now have ?,23
 13 ducks are swimming in a lake. 20 more ducks come to join them.How many ducks are swimming in the lake?,33
"Ron weighed two colored metal balls during a science class. The blue ball weighed 6 pounds and the brown ball weighed 3.12 pounds.If Ron places both balls on the scale at the same time, what will the scale read?",9.12
Ralph starts with 74 peanuts. He loses 59.How many peanuts does Ralph end with?,15
 Megan has 19 seashells.How many more seashells does she need to find to have 25 seashells in her collection?,6
"Some insects called aphids attack a large farm . In response , the farmer releases ladybugs onto the fields . There are 12170 ladybugs with spots and 54912 ladybugs without spots .How many ladybugs are there in all ?",67082
 Adolfo made a tower with 35 blocks. He added some more blocks and now he has 65 blocks.How many did he have to  add?,30
"Heather went to the county fair last weekend. When she got there, she had to walk 0.3333333333333333 of a mile from the car to the entrance. Then she walked 0.3333333333333333 of a mile to the carnival rides and 0.08333333333333333 of a mile from the carnival rides back to the car.How many miles did Heather walk in all?",0.75
"Melanie picked 4 plums, Dan picked 9 plums, and Sally picked 3 plums from the plum tree.How many plums were picked in total ?",16
Willy has 1400 crayons. Lucy has 290 crayons.How many more crayons does Willy have then Lucy?,1110
Cheryl starts with 8 Skittles. Kathryn gives Cheryl 89 more.How many Skittles does Cheryl end with?,97
There are 39 dogwood trees currently in the park . Park workers will plant 41 dogwood trees today and 20 dogwood trees tomorrow .How many dogwood trees will the park have when the workers are finished ?,100
"Sandy went to the mall to buy clothes . She spent $ 13.99 on shorts , $ 12.14 on a shirt , and $ 7.43 on a jacket .How much money did Sandy spend on clothes ?",33.56
Tim has 44 books . Sam has 52 books .How many books do they have together ?,96
Mike had 33 quarters and 87 nickels in his bank . His dad borrowed 75 nickels from Mike .How many nickels does he have now ?,12
 Kelly has 50 Nintendo games.How many does she need to give away so that she will have 35 games left?,15
"Kendra made punch for her friend 's birthday party . She used 0.25 gallon of grape juice , 0.375 gallon of cranberry juice , and 0.125 gallon of club soda .How many gallons of punch did Kendra make ?",0.75
Irene just bought a new lamp for her bedside table . The old lamp was 1 foot tall and the new lamp is 2.3333333333333335 feet tall .How much taller is the new lamp than the old lamp ?,1.333333333
Mary had 7 nickels in her bank. Her dad gave her 5 more nickels.How many nickels does Mary have now ?,12
 Jovana had 5 pounds of shells in her bucket. She added some shells and now has 28 pounds of shells.How many pounds did she add?,23
There are 6 candies in a pile on the desk. Each candy comes in a package of 15. 4 candies are added to the pile.How many candies are there in the pile?,10
"Keith grew 29 cantelopes , Fred grew 16 cantelopes , and Jason grew 20 cantelopes .How many cantelopes did they grow in total ?",65
Heather starts with 86 blocks. She shares 41 with Jose.How many blocks does Heather end with?,45
Tim had 7 quarters and 9 nickels in his bank . His dad gave him 3 nickels and 5 pennies .How many nickels does Tim have now ?,12
Roger has 95 candies. He gives 3 to Stephanie.How many candies will Roger have?,92
 There are 4 squirrels in a tree with 2 nuts.How many more squirrels are there than nuts?,2
"Joan grew 24 pumpkins , Keith grew 42 pumpkins , and Alyssa grew 13 pumpkins . They worked for 34 days on the farm .How many pumpkins did they grow in all ?",79
"During a school play , Jonah staffed the snack bar . He served 0.25 pitcher of lemonade during the first intermission , 0.4166666666666667 pitcher during the second , and 0.25 pitcher during the third .How many pitchers of lemonade did Jonah pour in all ?",0.916666667
Stanley ran 0.4 mile and walked 0.2 mile .How much farther did Stanley run than walk ?,0.2
 Josh had 16 marbles in his collection. He lost 7 marbles.How many marbles does he have now?,9
Fred found 47 seashells on the beach. He gave Jessica 25 of the seashells .How many seashells does he now have ?,22
"Diane has 37 crayons. She gets 5 more from Frances. Later, Diane buys 16 cards at the store.How many crayons does Diane have in all?",42
Anthony has 9 pencils. Kathryn gives Anthony 56 more.How many pencils does Anthony have in all?,65
 Misha has 34 dollars.How many more dollars does she have to earn to have 47 dollars?,13
Last week Tim had 12 dollars and Keith had 36 dollars . Tim washed cars over the weekend and now has 75 dollars .How much money did Tim make washing cars ?,63
Sally had 8 pennies and 7 nickels in her bank . Her dad gave her 9 nickels and her mother gave her 2 nickels .How many nickels does Sally have now ?,18
"Joan picked 43 apples from the orchard, and gave 27 apples  to  Melanie.How many apples does Joan have now ?",16
Sara 's high school played 12 basketball games this year . The team won most of their games . They were defeated during 4 games .How many games did they win ?,8
"To fill an order , the factory dyed 61921 yards of silk green and 49500 yards pink .How many yards of silk did it dye for that order ?",111421
"Before December, customers buy 1,346 ear muffs from the mall. During December, they buy 6,444 more, and there are none left.In all, how many ear muffs do the customers buy?",7790
 There were 58 geese and 37 ducks in the marsh.How many birds were there in all?,95
There were 73 bales of hay in the barn. Jason stacked more bales in the barn today. There are now 96 bales of hay in the barn.How many bales did he store in the barn ?,23
 James has 232 balloons. Amy has 101 balloons.How many more balloons does James have than Amy?,131
"There are 1,986 books in Oak Grove's public library. In addition, there are 5,106 books in its school libraries.How many books do the libraries in Oak Grove have overall?",7092
"Ellen made smoothies in the blender. She used 0.2 of a cup of strawberries, 0.1 of a cup of yogurt, and 0.2 of a cup of orange juice.How many cups of ingredients did Ellen use for the smoothies?",0.5
Ralph collects 4 cards. Ralph's father gives Ralph 8 more.How many cards does Ralph have?,12
Jessica is baking a cake . The recipe calls for 8 cups of flour and 2 cups of sugar . She already put in 4 cups of flour .How many cups of flour does she need to add ?,4
"Sara picked 45 pears, and Sally picked 11 pears from the pear tree .How many pears were picked in total ?",56
"A dust storm sweeps across the prairie . It covers 64535 acres of the prairie in dust , but leaves 522 acres untouched .How many acres does the prairie cover ?",64013
"Allie counted the leftover ice cream after a sundae party. She had 0.3333333333333333 of a carton of rocky road ice cream, 0.3333333333333333 of a carton of cookie dough ice cream, and 0.16666666666666666 of a carton of strawberry cheesecake ice cream.How many cartons of ice cream did Allie have in all?",0.833333333
"Bridget has 4 Skittles. Henry has 4 Skittles.If Henry gives all of his Skittles to Bridget, how many Skittles will Bridget have?",8
"While taking inventory at her pastry shop , Kelly realizes that she had 0.4 box of baking powder yesterday , but the supply is now down to 0.3 box .How much more baking powder did Kelly have yesterday ?",0.1
"Mary found 18 seashells, and Jessica found 41 seashells on the beach .How many seashells did they find together ?",59
There are 34 dogwood trees currently in the park. Park workers will plant  49 more dogwood trees today.How many dogwood trees will the park have when the workers are finished ?,83
"At a pie-eating contest , Erik got through 0.6666666666666666 pie before time was called ; Frank finished just 0.3333333333333333 pie .How much more pie did Erik eat than Frank ?",0.333333333
Sara had 24 peaches and 37 pears at her fruit dish . She went to the orchard and picked peaches . There are now 61 peaches .how many did she pick ?,37
Alyssa picked 17 plums and Jason picked 10 plums . Melanie picked 35 pears .How many plums were picked in all ?,27
Joan went to 4 football games this year. She went to 9 football games last year.How many football games did Joan go to in all ?,13
Aaron starts with 81 erasers. He gives 34 to Doris.How many erasers does Aaron end with?,47
Tom found 7 seashells but 4 were broken .How many unbroken seashells did Tom find ?,3
"Paco's Countertop Company purchased pieces of marble from a quarry. The weights of the pieces they purchased were 0.3333333333333333 of a ton, 0.3333333333333333 of a ton, and 0.08333333333333333 of a ton.How many tons of marble did Paco's Countertop Company purchase in all?",0.75
